"!им. ед.","род","род. ед.","дат. ед.","вин. ед.","твор. ед.","предл. ед."
"Альбертівна","F","Альбертовны","Альбертовне","Альбертовны","Альбертовной","Альбертовне"
"Альбинович","M","","","","",""
"Альбиновна","F","","","","",""
"Альбінович","M","Альбиновича","Альбиновичу","Альбиновича","Альбиновичем","Альбиновиче"
"Альбінівна","F","Альбиновны","Альбиновне","Альбиновны","Альбиновной","Альбиновне"
"Альвидасович","M","","","","",""
"Альвидасовна","F","","","","",""
"Альвинович","M","Альвиновича","Альвиновичу","Альвиновича","Альвиновичем","Альвиновиче"
"Альвинівна","F","Альвиновны","Альвиновне","Альвиновны","Альвиновной","Альвиновне"
"Альвіанович","M","Альвиановича","Альвиановичу","Альвиановича","Альвиановичем","Альвиановиче"
"Альгидрасович","M","","","","",""
"Альгидрасовна","F","","","","",""
"Альгисович","M","","","","",""
"Альгисовна","F","","","","",""
"Альгімантасович","M","Альгимантасовича","Альгимантасовичу","Альгимантасовича","Альгимантасовичем","Альгимантасовиче"
"Альгімантасівна","F","Альгимантасовны","Альгимантасовне","Альгимантасовны","Альгимантасовной","Альгимантасовне"
"Альгімантович","M","Альгимантовича","Альгимантовичу","Альгимантовича","Альгимантовичем","Альгимантовиче"
"Альгірдасович","M","Альгердасовича","Альгердасовичу","Альгердасовича","Альгердасовичем","Альгердасовиче"
"Альгірдасівна","F","Альгирдасовны","Альгирдасовне","Альгирдасовны","Альгирдасовной","Альгирдасовне"
"Альгісович","M","Альгисовича","Альгисовичу","Альгисовича","Альгисовичем","Альгисовиче"
"Альгісівна","F","Альгисовны","Альгисовне","Альгисовны","Альгисовной","Альгисовне"
"Альдонгарович","M","Альдонгаровича","Альдонгаровичу","Альдонгаровича","Альдонгаровичем","Альдонгаровиче"
"Альманович","M","Альмановича","Альмановичу","Альмановича","Альмановичем","Альмановиче"
"Альмирович","M","","","","",""
"Альмировна","F","","","","",""
"Альмутасівна","F","Альмутасовны","Альмутасовне","Альмутасовны","Альмутасовной","Альмутасовне"
