"!наз. од.","рід","клич.","род. одн.","дав. одн.","знах. одн.","оруд. одн.","місц. одн."
"Аннамарія","F","Аннамаріє","Аннамарії","Аннамарії","Аннамарії","Аннамарією","Аннамарії"
"Аннет","F","Аннет","Аннет","Аннет","Аннет","Аннет","Аннет"
"Анорій","M","Аноре","Анора","Анору","Анора","Анором","Анорові"
"Анрі","M","Анріє","Анрія","Анрію","Анрія","Анрійом","Анрійові"
"Ансар","M","Ансаре","Ансара","Ансару","Ансара","Ансаром","Ансарові"
"Антанас","M","","","","","",""
"Антанасій","M","Анастасію","Анастасія","Анастасію","Анастасія","Анастасієм","Анастасії"
"Антаран","F","Антаране","Антарани","Антарані","Антарани","Антараною","Антарані"
"Антас","M","","","","","",""
"Антелла","F","Антелле","Антелли","Антеллі","Антелли","Антеллою","Антеллі"
"Антип","M","Антипе","Антипа","Антипу","Антипа","Антипом","Антипові"
"Антон","M","Антоне","Антона","Антону","Антона","Антоном","Антоні"
"Антоніда","F","Антонідо","Антоніди","Антоніді","Антоніди","Антонідою","Антоніді"
"Антоній","M","Антонію","Антонія","Антонію","Антонія","Антонієм","Антонії"
"Антоніна","F","Антоніно","Антоніни","Антоніні","Антоніни","Антоніною","Антоніні"
"Антоніо","M","Антоніо","Антоніо","Антоніо","Антоніо","Антоніо","Антоніо"
"Антуан","M","Антуане","Антуана","Антуану","Антуана","Антуаном","Антуанові"
"Антуанетта","F","Антуанетте","Антуанетти","Антуанетті","Антуанетти","Антуанеттою","Антуанетті"
"Ануш","F","Ануш","Ануш","Ануш","Ануші","Ануш","Ануш"
"Анушаван","M","","","","","",""
"Анфіса","F","Анфісо","Анфіси","Анфісі","Анфіси","Анфісою","Анфісі"
"Анчар","M","","","","","",""
"Аніл","M","","","","","",""
"Анімполіст","M","Анімполісте","Анімполіста","Анімполісту","Анімполіста","Анімполістом","Анімполісті"
"Анісія","F","Анісіє","Анісії","Анісії","Анісії","Анісією","Анісії"
"Аніта","F","Аніте","Аніти","Аніті","Аніти","Анітою","Аніті"
"Аніфат","M","","","","","",""
"Аніфе","F","Аніфе","Аніфе","Аніфе","Аніфе","Аніфе","Аніфе"
"Аполлон","M","","","","","",""
"Аполлоній","M","","","","","",""
"Аполлінарій","M","","","","","",""
"Аполонія","F","Аполоніє","Аполонії","Аполонії","Аполонію","Аполонією","Аполонії"
"Аполінарій","M","Аполінарію","Аполінарія","Аполінарію","Аполінарія","Аполінарієм","Аполінарії"
"Аполінарія","F","Аполінаріє","Аполінарії","Аполінарії","Аполінарії","Аполінарією","Аполінарії"
"Аппаз","M","","","","","",""
"Апполон","M","Апполоне","Апполона","Апполону","Апполона","Апполоном","Аппалонові"
"Апрес","M","Апресе","Апреса","Апресу","Апреса","Апресом","Апресові"
"Аптуматин","M","","","","","",""
"Апутюх","M","Апутюхе","Апутюха","Апутюху","Апутюха","Апутюхом","Апутюхові"
"Апухтина","F","Апухтино","Апухтини","Апухтині","Апухтини","Апухтиною","Апухтині"
"Ара","M","Аре","Ари","Арі","Ари","Аром","Арові"
"Аравил","M","","","","","",""
"Араз","M","Аразе","Араза","Аразу","Араза","Аразом","Аразові"
"Арай","M","","","","","",""
"Аракел","M","","","","","",""
"Араксл","M","","","","","",""
"Араксі","F","Араксі","Араксі","Араксі","Араксі","Араксі","Араксі"
"Арам","M","Араме","Арама","Араму","Арама","Арамом","Арамі"
"Арамаіс","M","","","","","",""
"Арамаїс","M","Арамаїсе","Арамаїса","Арамаїсу","Арамаїса","Арамаїсом","Арамаїсові"
"Араміс","M","Арамісе","Араміса","Арамісу","Араміса","Арамісом","Арамісові"
"Арарат","M","Арарате","Арарата","Арарату","Арарата","Араратом","Араратові"
"Араік","M","Араіке","Араіка","Араіку","Араіка","Араіком","Араікові"
"Арбай","M","","","","","",""
"Арбінт","M","Арбінте","Арбінта","Арбінту","Арбінта","Арбінтом","Арбінтові"
"Арвід","M","Арвіде","Арвіда","Арвіду","Арвіда","Арвідом","Арвідові"
"Ардаліон","M","","","","","",""
"Ардан","M","Ардане","Ардана","Ардану","Ардана","Арданом","Арданові"
"Ардашес","M","","","","","",""
"Аре","M","","","","","",""
"Аревшат","M","","","","","",""
"Аревік","M","Аревіке","Аревіка","Аревіку","Аревіка","Аревіком","Аревікові"
"Аревіка","F","Аревіке","Аревіки","Аревікі","Аревіки","Аревікою","Аревікі"
"Ареліна","F","Ареліно","Ареліни","Ареліні","Ареліни","Ареліною","Ареліні"
"Арем","M","","","","","",""
"Арестакес","M","Арестакесе","Арестакеса","Арестакесу","Арестакеса","Арестакесом","Арестакесові"
"Арета","F","Арето","Арети","Ареті","Арети","Аретою","Ареті"
"Арефій","M","","","","","",""
"Арехт","M","","","","","",""
"Арзу","M","Арзу","Арзу","Арзу","Арзу","Арзу","Арзу"
"Арзуман","M","","","","","",""
"Арикул","M","","","","","",""
"Арим","M","","","","","",""
"Арис","M","","","","","",""
"Аристарх","M","Аристраше","Аристраха","Аристраху","Аристраха","Аристрахом","Аристрасі"
"Аристид","M","Аристиде","Аристида","Аристиду","Аристида","Аристидом","Аристидові"
"Аристон","M","","","","","",""
"Ариф","M","","","","","",""
"Арифул","M","","","","","",""
"Аркадій","M","Аркадію","Аркадія","Аркадію","Аркадія","Аркадієм","Аркадії"
"Аркен","M","Аркене","Аркена","Аркену","Аркена","Аркеном","Аркенові"
"Арлен","M","Арлене","Арлена","Арлену","Арлена","Арленом","Арленові"
"Арліне","F","Арліне","Арліне","Арліне","Арліне","Арліне","Арліне"
